,p_id,geometry,lon,lat,lat_lon
0,p0,POINT (74.30159545788889 31.5492823776879),74.3015954578889,31.5492823776879,"(31.5492823776879, 74.3015954578889)"
1,p1,POINT (74.30159545788889 31.55310997761377),74.3015954578889,31.553109977613765,"(31.553109977613765, 74.3015954578889)"
2,p2,POINT (74.30159545788889 31.5569374205268),74.3015954578889,31.556937420526804,"(31.556937420526804, 74.3015954578889)"
3,p3,POINT (74.30159545788889 31.56076470641637),74.3015954578889,31.560764706416375,"(31.560764706416375, 74.3015954578889)"
4,p4,POINT (74.30159545788889 31.56459183527184),74.3015954578889,31.564591835271838,"(31.564591835271838, 74.3015954578889)"
5,p5,POINT (74.30159545788889 31.56841880708258),74.3015954578889,31.568418807082576,"(31.568418807082576, 74.3015954578889)"
6,p6,POINT (74.30159545788889 31.57224562183794),74.3015954578889,31.57224562183794,"(31.57224562183794, 74.3015954578889)"
7,p7,POINT (74.30159545788889 31.57607227952733),74.3015954578889,31.576072279527327,"(31.576072279527327, 74.3015954578889)"
8,p8,POINT (74.30159545788889 31.5798987801401),74.3015954578889,31.579898780140102,"(31.579898780140102, 74.3015954578889)"
9,p9,POINT (74.30608703430948 31.5492823776879),74.30608703430948,31.5492823776879,"(31.5492823776879, 74.30608703430948)"
10,p10,POINT (74.30608703430948 31.55310997761377),74.30608703430948,31.553109977613765,"(31.553109977613765, 74.30608703430948)"
11,p11,POINT (74.30608703430948 31.5569374205268),74.30608703430948,31.556937420526804,"(31.556937420526804, 74.30608703430948)"
12,p12,POINT (74.30608703430948 31.56076470641637),74.30608703430948,31.560764706416375,"(31.560764706416375, 74.30608703430948)"
13,p13,POINT (74.30608703430948 31.56459183527184),74.30608703430948,31.564591835271838,"(31.564591835271838, 74.30608703430948)"
14,p14,POINT (74.30608703430948 31.56841880708258),74.30608703430948,31.568418807082576,"(31.568418807082576, 74.30608703430948)"
15,p15,POINT (74.30608703430948 31.57224562183794),74.30608703430948,31.57224562183794,"(31.57224562183794, 74.30608703430948)"
16,p16,POINT (74.30608703430948 31.57607227952733),74.30608703430948,31.576072279527327,"(31.576072279527327, 74.30608703430948)"
17,p17,POINT (74.30608703430948 31.5798987801401),74.30608703430948,31.579898780140102,"(31.579898780140102, 74.30608703430948)"
18,p18,POINT (74.31057861073009 31.5492823776879),74.31057861073009,31.5492823776879,"(31.5492823776879, 74.31057861073009)"
19,p19,POINT (74.31057861073009 31.55310997761377),74.31057861073009,31.553109977613765,"(31.553109977613765, 74.31057861073009)"
20,p20,POINT (74.31057861073009 31.5569374205268),74.31057861073009,31.556937420526804,"(31.556937420526804, 74.31057861073009)"
21,p21,POINT (74.31057861073009 31.56076470641637),74.31057861073009,31.560764706416375,"(31.560764706416375, 74.31057861073009)"
22,p22,POINT (74.31057861073009 31.56459183527184),74.31057861073009,31.564591835271838,"(31.564591835271838, 74.31057861073009)"
23,p23,POINT (74.31057861073009 31.56841880708258),74.31057861073009,31.568418807082576,"(31.568418807082576, 74.31057861073009)"
24,p24,POINT (74.31057861073009 31.57224562183794),74.31057861073009,31.57224562183794,"(31.57224562183794, 74.31057861073009)"
25,p25,POINT (74.31057861073009 31.57607227952733),74.31057861073009,31.576072279527327,"(31.576072279527327, 74.31057861073009)"
26,p26,POINT (74.31057861073009 31.5798987801401),74.31057861073009,31.579898780140102,"(31.579898780140102, 74.31057861073009)"
27,p27,POINT (74.31507018715068 31.5492823776879),74.31507018715068,31.5492823776879,"(31.5492823776879, 74.31507018715068)"
28,p28,POINT (74.31507018715068 31.55310997761377),74.31507018715068,31.553109977613765,"(31.553109977613765, 74.31507018715068)"
29,p29,POINT (74.31507018715068 31.5569374205268),74.31507018715068,31.556937420526804,"(31.556937420526804, 74.31507018715068)"
30,p30,POINT (74.31507018715068 31.56076470641637),74.31507018715068,31.560764706416375,"(31.560764706416375, 74.31507018715068)"
31,p31,POINT (74.31507018715068 31.56459183527184),74.31507018715068,31.564591835271838,"(31.564591835271838, 74.31507018715068)"
32,p32,POINT (74.31507018715068 31.56841880708258),74.31507018715068,31.568418807082576,"(31.568418807082576, 74.31507018715068)"
33,p33,POINT (74.31507018715068 31.57224562183794),74.31507018715068,31.57224562183794,"(31.57224562183794, 74.31507018715068)"
34,p34,POINT (74.31507018715068 31.57607227952733),74.31507018715068,31.576072279527327,"(31.576072279527327, 74.31507018715068)"
35,p35,POINT (74.31507018715068 31.5798987801401),74.31507018715068,31.579898780140102,"(31.579898780140102, 74.31507018715068)"
36,p36,POINT (74.31956176357127 31.5492823776879),74.31956176357127,31.5492823776879,"(31.5492823776879, 74.31956176357127)"
37,p37,POINT (74.31956176357127 31.55310997761377),74.31956176357127,31.553109977613765,"(31.553109977613765, 74.31956176357127)"
38,p38,POINT (74.31956176357127 31.5569374205268),74.31956176357127,31.556937420526804,"(31.556937420526804, 74.31956176357127)"
39,p39,POINT (74.31956176357127 31.56076470641637),74.31956176357127,31.560764706416375,"(31.560764706416375, 74.31956176357127)"
40,p40,POINT (74.31956176357127 31.56459183527184),74.31956176357127,31.564591835271838,"(31.564591835271838, 74.31956176357127)"
41,p41,POINT (74.31956176357127 31.56841880708258),74.31956176357127,31.568418807082576,"(31.568418807082576, 74.31956176357127)"
42,p42,POINT (74.31956176357127 31.57224562183794),74.31956176357127,31.57224562183794,"(31.57224562183794, 74.31956176357127)"
43,p43,POINT (74.31956176357127 31.57607227952733),74.31956176357127,31.576072279527327,"(31.576072279527327, 74.31956176357127)"
44,p44,POINT (74.31956176357127 31.5798987801401),74.31956176357127,31.579898780140102,"(31.579898780140102, 74.31956176357127)"
45,p45,POINT (74.32405333999188 31.5492823776879),74.32405333999188,31.5492823776879,"(31.5492823776879, 74.32405333999188)"
46,p46,POINT (74.32405333999188 31.55310997761377),74.32405333999188,31.553109977613765,"(31.553109977613765, 74.32405333999188)"
47,p47,POINT (74.32405333999188 31.5569374205268),74.32405333999188,31.556937420526804,"(31.556937420526804, 74.32405333999188)"
48,p48,POINT (74.32405333999188 31.56076470641637),74.32405333999188,31.560764706416375,"(31.560764706416375, 74.32405333999188)"
49,p49,POINT (74.32405333999188 31.56459183527184),74.32405333999188,31.564591835271838,"(31.564591835271838, 74.32405333999188)"
50,p50,POINT (74.32405333999188 31.56841880708258),74.32405333999188,31.568418807082576,"(31.568418807082576, 74.32405333999188)"
51,p51,POINT (74.32405333999188 31.57224562183794),74.32405333999188,31.57224562183794,"(31.57224562183794, 74.32405333999188)"
52,p52,POINT (74.32405333999188 31.57607227952733),74.32405333999188,31.576072279527327,"(31.576072279527327, 74.32405333999188)"
53,p53,POINT (74.32405333999188 31.5798987801401),74.32405333999188,31.579898780140102,"(31.579898780140102, 74.32405333999188)"
54,p54,POINT (74.32854491641247 31.5492823776879),74.32854491641247,31.5492823776879,"(31.5492823776879, 74.32854491641247)"
55,p55,POINT (74.32854491641247 31.55310997761377),74.32854491641247,31.553109977613765,"(31.553109977613765, 74.32854491641247)"
56,p56,POINT (74.32854491641247 31.5569374205268),74.32854491641247,31.556937420526804,"(31.556937420526804, 74.32854491641247)"
57,p57,POINT (74.32854491641247 31.56076470641637),74.32854491641247,31.560764706416375,"(31.560764706416375, 74.32854491641247)"
58,p58,POINT (74.32854491641247 31.56459183527184),74.32854491641247,31.564591835271838,"(31.564591835271838, 74.32854491641247)"
59,p59,POINT (74.32854491641247 31.56841880708258),74.32854491641247,31.568418807082576,"(31.568418807082576, 74.32854491641247)"
60,p60,POINT (74.32854491641247 31.57224562183794),74.32854491641247,31.57224562183794,"(31.57224562183794, 74.32854491641247)"
61,p61,POINT (74.32854491641247 31.57607227952733),74.32854491641247,31.576072279527327,"(31.576072279527327, 74.32854491641247)"
62,p62,POINT (74.32854491641247 31.5798987801401),74.32854491641247,31.579898780140102,"(31.579898780140102, 74.32854491641247)"
63,p63,POINT (74.33303649283307 31.5492823776879),74.33303649283307,31.5492823776879,"(31.5492823776879, 74.33303649283307)"
64,p64,POINT (74.33303649283307 31.55310997761377),74.33303649283307,31.553109977613765,"(31.553109977613765, 74.33303649283307)"
65,p65,POINT (74.33303649283307 31.5569374205268),74.33303649283307,31.556937420526804,"(31.556937420526804, 74.33303649283307)"
66,p66,POINT (74.33303649283307 31.56076470641637),74.33303649283307,31.560764706416375,"(31.560764706416375, 74.33303649283307)"
67,p67,POINT (74.33303649283307 31.56459183527184),74.33303649283307,31.564591835271838,"(31.564591835271838, 74.33303649283307)"
68,p68,POINT (74.33303649283307 31.56841880708258),74.33303649283307,31.568418807082576,"(31.568418807082576, 74.33303649283307)"
69,p69,POINT (74.33303649283307 31.57224562183794),74.33303649283307,31.57224562183794,"(31.57224562183794, 74.33303649283307)"
70,p70,POINT (74.33303649283307 31.57607227952733),74.33303649283307,31.576072279527327,"(31.576072279527327, 74.33303649283307)"
71,p71,POINT (74.33303649283307 31.5798987801401),74.33303649283307,31.579898780140102,"(31.579898780140102, 74.33303649283307)"
72,p72,POINT (74.33752806925366 31.5492823776879),74.33752806925366,31.5492823776879,"(31.5492823776879, 74.33752806925366)"
73,p73,POINT (74.33752806925366 31.55310997761377),74.33752806925366,31.553109977613765,"(31.553109977613765, 74.33752806925366)"
74,p74,POINT (74.33752806925366 31.5569374205268),74.33752806925366,31.556937420526804,"(31.556937420526804, 74.33752806925366)"
75,p75,POINT (74.33752806925366 31.56076470641637),74.33752806925366,31.560764706416375,"(31.560764706416375, 74.33752806925366)"
76,p76,POINT (74.33752806925366 31.56459183527184),74.33752806925366,31.564591835271838,"(31.564591835271838, 74.33752806925366)"
77,p77,POINT (74.33752806925366 31.56841880708258),74.33752806925366,31.568418807082576,"(31.568418807082576, 74.33752806925366)"
78,p78,POINT (74.33752806925366 31.57224562183794),74.33752806925366,31.57224562183794,"(31.57224562183794, 74.33752806925366)"
79,p79,POINT (74.33752806925366 31.57607227952733),74.33752806925366,31.576072279527327,"(31.576072279527327, 74.33752806925366)"
80,p80,POINT (74.33752806925366 31.5798987801401),74.33752806925366,31.579898780140102,"(31.579898780140102, 74.33752806925366)"
81,p81,POINT (74.34201964567427 31.5492823776879),74.34201964567427,31.5492823776879,"(31.5492823776879, 74.34201964567427)"
82,p82,POINT (74.34201964567427 31.55310997761377),74.34201964567427,31.553109977613765,"(31.553109977613765, 74.34201964567427)"
83,p83,POINT (74.34201964567427 31.5569374205268),74.34201964567427,31.556937420526804,"(31.556937420526804, 74.34201964567427)"
84,p84,POINT (74.34201964567427 31.56076470641637),74.34201964567427,31.560764706416375,"(31.560764706416375, 74.34201964567427)"
85,p85,POINT (74.34201964567427 31.56459183527184),74.34201964567427,31.564591835271838,"(31.564591835271838, 74.34201964567427)"
86,p86,POINT (74.34201964567427 31.56841880708258),74.34201964567427,31.568418807082576,"(31.568418807082576, 74.34201964567427)"
87,p87,POINT (74.34201964567427 31.57224562183794),74.34201964567427,31.57224562183794,"(31.57224562183794, 74.34201964567427)"
88,p88,POINT (74.34201964567427 31.57607227952733),74.34201964567427,31.576072279527327,"(31.576072279527327, 74.34201964567427)"
89,p89,POINT (74.34201964567427 31.5798987801401),74.34201964567427,31.579898780140102,"(31.579898780140102, 74.34201964567427)"
